state,label,fit_status,train_points,validation_points,q0,q_inf,k_per_s,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min
Tmax_K,Tmax,ok,9,3,4035.8,2832.5025937589667,26.346174636379402,105.01724345688608,0.034836725189339675,533.3051734368265,0.21744482322303946,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,2734276.122931442,1163353.9543861006,16.586543637821894,83662.90566731096,0.057084177160662046,257021.02825940232,0.2635916001917729,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,1.4416157183174716,0.5519346695686635,84.72882521218072,0.08521656858536943,0.13065231255020177,0.27964994011635685,0.5775187607811534,A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0
front_length_m,L_f,ok,9,3,0.0005831600000000001,0.0008277356392659786,6.123849832800652,8.522218531361434e-05,0.11529737834731268,0.00014837412167948056,0.21544086202915733,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
rear_length_m,L_r,ok,9,3,0.00065,0.0009455760684152338,8.301069090985347,1.6892064592049313e-05,0.019611874167096303,3.06056237282656e-05,0.03168721396493538,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
full_width_m,W,ok,9,3,0.00113258,0.0013641794481389755,31.799885946846487,1.5130385924136114e-05,0.01136051321790614,3.9625796385811586e-05,0.028232215346007734,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
height_span_m,H,ok,9,3,0.00069695,0.0009841238711567346,15.935122314989718,3.138059595657956e-05,0.03384102659579734,2.6507714015360626e-05,0.026510188299601924,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
Tmax_K,Tmax,ok,9,3,3107.1,2673.0859599558717,24.432335526686593,70.91913474545709,0.025879852438647266,101.53092903522837,0.03943663409623558,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
Gmean_K_per_m,Gmean,ok,9,3,2358009.4701986755,1278762.208411682,12.167565419858686,66405.28062538378,0.04364719019129754,66285.58191559644,0.05386390881644424,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
Umax_m_per_s,Umax,ok,9,3,0.38052116545732384,0.46403121408869824,99.99999999999997,0.06697440065802285,0.1472743824977835,0.04868403578723139,0.11591243455426908,A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0
front_length_m,L_f,ok,9,3,0.00057701,0.000693328676898318,99.99999999999999,0.00012816964446545434,0.18838288445123455,0.00012339501793600302,0.15757249129868872,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
rear_length_m,L_r,ok,9,3,0.00079189,0.001255029408914094,8.660268874539177,3.0205615787185396e-05,0.026867108842425592,0.00011251185199117476,0.0976213431205241,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
full_width_m,W,ok,9,3,0.0011987,0.0015202152468245175,71.10839227911794,4.969771356869087e-05,0.033501667454491506,5.857812397516371e-05,0.03939278648342805,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
height_span_m,H,ok,9,3,0.00090057,0.0011893574787728396,43.23820538755814,3.264606828335228e-05,0.028311891969022132,3.7716253730663246e-05,0.03143798361038972,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
Tmax_K,Tmax,ok,9,3,3499.9,2482.783182199702,16.298587564327097,108.17727489370839,0.0403641527693841,146.49124370825848,0.05787651365345442,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
Gmean_K_per_m,Gmean,ok,9,3,2650313.682611997,889238.0500397604,12.755877759564386,89904.80772344436,0.07005284110757767,65315.07855664032,0.0703428210239503,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
Umax_m_per_s,Umax,ok,9,3,0.46543648335514054,0.6252666332114728,99.99999999998822,0.14819770017905262,0.2439639622472038,0.6760416594156481,0.6066537776152071,A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0
front_length_m,L_f,ok,9,3,0.00015016999999999998,0.000981128353677803,15.11720963206931,0.00013399260374128964,0.1652309913819755,6.594319203019432e-05,0.0704897830360175,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.00047479,0.0012980084892994113,5.413791020325338,5.5065578574915214e-05,0.055279859279218586,1.4402628042408688e-05,0.011285557155938477,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
full_width_m,W,ok,9,3,0.00074998,0.0017446589452295416,12.754446328719027,2.3699508968645815e-05,0.0155730899547336,1.1969600362411183e-05,0.006848929633001375,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
height_span_m,H,ok,9,3,0.00010072363,0.0016137601721724346,14.818191874043908,8.742504884109295e-05,0.06722433357046545,0.00015421044514926326,0.08762670737347734,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
Tmax_K,Tmax,ok,9,3,2106.1,3197.1853167264658,34.07570758414282,580.8875642636244,0.19078786218474572,235.8970331606386,0.07617854869071959,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,5351820.845410627,1156880.7413676295,16.079684773250378,317619.54242000915,0.16210203577789972,101580.90977556804,0.08622529867150819,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.11349342413549782,0.6408117009565854,17.107122820306728,0.1137795501778421,0.2121628140923859,0.12528059839594882,0.24159493120426595,A12-950-6-60000,12,950.0,6.0,0.006,60000.0,12.0
front_length_m,L_f,ok,9,3,0.00045,0.0009292632768383416,15.201777321423508,3.559780804768218e-05,0.04285335764548028,0.0007164086498623315,1.0441752657955572,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
rear_length_m,L_r,ok,9,3,0.000592541,0.0015605398322605117,5.79751076259831,3.811157895232139e-05,0.03127573531231471,4.124402940276061e-05,0.026786475625277494,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
full_width_m,W,ok,9,3,0.00098128,0.001585206609039251,20.818489530470572,2.7399927420951948e-05,0.018477231344283397,0.00018947108837409152,0.12093899257920737,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
height_span_m,H,ok,9,3,0.000476907,0.0016555147594319317,14.498006791784034,3.987590191390802e-05,0.02823422062176678,0.0003829263068187357,0.2696107190195938,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
Tmax_K,Tmax,ok,9,3,4882.3,3354.8098242951687,99.99999999999996,173.64979441307912,0.04925505597965666,768.3832304466226,0.2658581518395345,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
Gmean_K_per_m,Gmean,ok,9,3,6006076.153846154,1467918.8944343545,37.18669820105795,133910.87883416424,0.06486795401525304,463149.95144540153,0.4047034582920528,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
Umax_m_per_s,Umax,ok,9,3,0.6414945856357636,1.4138915503412568,0.1959797065860933,0.20017833224792003,0.3180097331550164,0.3527412482866742,0.7406046293303545,A13-950-10-60000,13,950.0,10.0,0.01,60000.0,12.0
front_length_m,L_f,ok,9,3,0.0004886299999999999,0.0009678291907172329,13.810557689370095,0.00010072128348460814,0.11615387441957416,4.0827589500841134e-05,0.043487579798517126,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
rear_length_m,L_r,ok,9,3,0.00068976,0.0011172355959727155,9.560907336828947,2.9344671567135204e-05,0.02916647091130511,8.954438138232452e-05,0.07471578799214927,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
full_width_m,W,ok,9,3,0.00121038,0.0015492007672946134,16.769889059415462,2.977036220030461e-05,0.02005782733116097,1.6337356857792837e-05,0.010643182998853104,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
height_span_m,H,ok,9,3,0.00061483,0.0015294020152372722,15.555446503345106,6.989426489758575e-05,0.05184470401162021,3.052266335256057e-05,0.01978248725521021,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
Tmax_K,Tmax,ok,9,3,3741.6,3387.387810374731,11.857427491544712,119.34820614989182,0.03443531376949252,737.0167234069927,0.199766011656907,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
Gmean_K_per_m,Gmean,ok,9,3,2923553.5361842103,1554841.1454699168,19.921386058982844,38681.56862255035,0.021576172582681775,105471.87702301957,0.07150561167106942,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
Umax_m_per_s,Umax,ok,9,3,0.46526393367206104,1.0676822345053765,0.8820755128264823,0.0737870684576163,0.12789566946265,0.17891044176966292,0.2841837718713532,A14-950-8-40000,14,950.0,8.0,0.008,40000.0,8.0
front_length_m,L_f,ok,9,3,0.00015102000000000003,0.0009556927252289752,22.29971319925498,0.00013940499904141455,0.16948661303332213,8.944652185854006e-05,0.0913589696226407,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
rear_length_m,L_r,ok,9,3,0.000475022,0.0016123067228504147,5.191995323290193,6.354137130999224e-05,0.053522420257884985,4.1357719368968295e-05,0.025981730976861597,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
full_width_m,W,ok,9,3,0.00075002,0.0017286733976852862,20.33538772515017,7.551350009113486e-05,0.04830280986240345,4.310375764741315e-05,0.025118251965237558,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
height_span_m,H,ok,9,3,0.00010391190000000001,0.0017103916987453904,17.286272449156773,4.8948175496130465e-05,0.03470962455134132,7.117745345642654e-05,0.04023044886783608,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
Tmax_K,Tmax,ok,9,3,2508.0,3296.0499348354897,99.999999999995,437.328577606131,0.13629982125881937,65.12477644005332,0.01942650757376977,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
Gmean_K_per_m,Gmean,ok,9,3,5093037.2,1106519.442570545,15.823639582248383,163596.6565318395,0.08674316096111208,92112.59986784775,0.07755890701251884,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
Umax_m_per_s,Umax,ok,9,3,0.06642598262163685,0.6981701359130521,15.76675334394708,0.1278050613231227,0.22225637991105424,0.10557891295224313,0.1715620771343041,A15-950-8-70000,15,950.0,8.0,0.008,70000.0,14.0
