case_id,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,context,state,label,model,train_points,validation_points,validation_rmse,validation_relative_rmse,status
A8-550-6-60000,8,550.0,6.0,0.006,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.25314276828264914,0.3873790051557489,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.0005863102392647322,0.8733952618273976,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.0006835451812664285,1.0182409969706963,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,7.856608683140586e-05,0.06473804122561456,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,7.316651898084251e-05,0.06028882579172915,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,0.0003356877497516603,0.2552279798605537,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,0.00030156235829272254,0.22928197876144088,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,0.00040580176679424823,0.4713546257841337,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,0.0003824120172816512,0.4441865167939018,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,513.1173614940998,0.20921363511950575,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,534.0513700993846,0.2177490704148188,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,182232.07404888506,0.1868907160247269,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,223262.91439482535,0.22897048256073177,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.3150341925714922,0.6505925101284789,ok
A9-550-10-60000,9,550.0,10.0,0.01,60000.0,12.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.2805525453066058,0.5793827748793874,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,8.33181252789576e-05,0.12097883734421032,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,9.502572621647968e-05,0.13797840310219217,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,2.748187281342623e-05,0.028453070969174026,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,2.7664374023971677e-05,0.028642021697927598,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,2.184253037844602e-05,0.015562160955503378,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,3.712073346366489e-05,0.026447431636306237,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,height_span_m,H,last_train_persistence,9,3,3.901234761798714e-05,0.03901598911030411,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,height_span_m,H,independent_ar1,9,3,3.1240766930958904e-05,0.031243683008039657,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Tmax_K,Tmax,last_train_persistence,9,3,74.5751969491198,0.028966491124263218,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Tmax_K,Tmax,independent_ar1,9,3,107.64092220621353,0.04180987708045997,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,last_train_persistence,9,3,45725.71464159258,0.0371568846926269,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Gmean_K_per_m,Gmean,independent_ar1,9,3,52468.465836991694,0.04263606923118026,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,last_train_persistence,9,3,0.0210964861955746,0.050228889941596314,ok
A10-550-8-40000,10,550.0,8.0,0.008,40000.0,8.0,internal_condition_time_split,Umax_m_per_s,Umax,independent_ar1,9,3,0.05230461393712099,0.12453271471513783,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,last_train_persistence,9,3,0.00033603940245155727,0.4291142924933694,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,front_length_m,L_f,independent_ar1,9,3,0.00011550266965810247,0.14749415101277305,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,last_train_persistence,9,3,0.00010819947627722878,0.09387969366950664,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,rear_length_m,L_r,independent_ar1,9,3,0.00011245489471464312,0.09757192391946125,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,last_train_persistence,9,3,5.488005952377728e-05,0.03690590138964822,ok
A11-550-8-70000,11,550.0,8.0,0.008,70000.0,14.0,internal_condition_time_split,full_width_m,W,independent_ar1,9,3,5.732453383373271e-05,0.038549768554071696,ok
