model,state,label,train_rmse,train_relative_rmse,validation_rmse,validation_relative_rmse,all_eigenvalues_stable,case_id,case_index,power_W,scan_speed_mm_s,particle_rate,powder_feed_g_min,coupled_relative_improvement_vs_diagonal
diagonal_attractor,Umax_m_per_s,Umax,0.10168093264139658,0.1674333736670849,0.09694034732746275,0.18610630700542735,True,A7-750-8-70000,7,750.0,8.0,70000.0,14.0,0.025907488231438954
diagonal_attractor,front_length_m,L_f,0.00030492990093493425,0.4601357265468656,7.121526878589463e-05,0.11591655708191853,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,0.3227452645463549
diagonal_attractor,rear_length_m,L_r,5.884958031679473e-05,0.0638846489215464,6.311840633298248e-05,0.06067521757208004,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,-0.2642893160892967
diagonal_attractor,full_width_m,W,0.00012906355523394883,0.09224228136047459,7.73008913313905e-05,0.05486950577653333,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,-0.07672291267879688
diagonal_attractor,height_span_m,H,8.73303806894651e-05,0.0825827272286649,0.00011353868674355411,0.09579389035650812,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,-0.08119181378584105
diagonal_attractor,Tmax_K,Tmax,317.11126014806155,0.11805003852270224,37.8868902500822,0.016462063430601734,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,-1.9903708049716524
diagonal_attractor,Gmean_K_per_m,Gmean,196660.7533934735,0.15640539967892805,98752.19319802805,0.10531367883761023,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,0.31769329124366025
diagonal_attractor,Umax_m_per_s,Umax,0.09968856685648991,0.18574198765340302,0.23339345524055266,0.3571570506015719,True,A8-550-6-60000,8,550.0,6.0,60000.0,12.0,-0.00021177863387509638
diagonal_attractor,front_length_m,L_f,0.00010821515119288316,0.1339149104520884,0.0006903982558481687,1.028449658644672,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,-0.00046878991086709226
diagonal_attractor,rear_length_m,L_r,1.403332984822886e-05,0.013389673371830127,8.235552265062885e-05,0.06786051635681348,True,A9-550-10-60000,9,550.0,10.0,60000.0,12.0,-0.40229969174701524
