case_id,time_s,xi_m_min,xi_m_max,y_m_min,y_m_max,z_m_min,z_m_max,Temperature_mean,Temperature_max,Temperature Gradient At Tgrdout_mean,Temperature Gradient At Tgrdout_max,Velocity_Magnitude_mean,Velocity_Magnitude_max,Pressure_mean,Pressure_max,Heat Absorption Rate_mean,Heat Absorption Rate_max,Melt Region_mean,Melt Region_min,case_index,power_W,scan_speed_mm_s,scan_speed_m_s,particle_rate,powder_feed_g_min,unique_points
A5-750-10-60000,0.1,-0.000972402,0.0007723000000000001,8.9407e-12,0.00076499,-0.00080088,0.00038481,1974.3641434262947,3946.2,2049207.549800797,16123000.0,0.11911837758681605,0.5500238428468351,102865.37848605578,112560.0,19426237.71580345,131410000.0,0.8436061772908366,0.093143,5,750.0,10.0,0.01,60000.0,12.0,753
A5-750-10-60000,0.15,-0.0010818400000000001,0.0009028999999999999,2.0862e-11,0.0007631,-0.0009,0.00045,1915.523123620309,3452.9,1582472.7097130243,10066000.0,0.11352373437217612,0.6143738986290352,103168.4050772627,105220.0,12203590.309050772,145160000.0,0.8573030309050772,0.064796,5,750.0,10.0,0.01,60000.0,12.0,906
A5-750-10-60000,0.2,-0.00117989,0.0008072000000000001,1.1325e-10,0.00078475,-0.0009,0.00053553,1912.3811860940696,2989.1,1436226.7910702114,6030100.0,0.10490824626775994,0.4943940579386043,103312.99591002044,105620.0,14429812.45398773,142950000.0,0.8730689713701432,0.085264,5,750.0,10.0,0.01,60000.0,12.0,978
A5-750-10-60000,0.3,-0.0012928,0.0010683000000000003,6.7056e-10,0.00079333,-0.00079999,0.00060372,1886.771792360431,3096.9,1301714.3398628796,6274100.0,0.12029560545016696,0.6313067046602626,103213.03525954946,105440.0,14374847.424094025,152960000.0,0.8916615377081293,0.10373,5,750.0,10.0,0.01,60000.0,12.0,1021
A5-750-10-60000,0.4,-0.00135,0.0008897999999999996,2.5034e-10,0.00085,-0.0008,0.0006737,1876.9957894736842,2823.9,1213029.1961722488,6005500.0,0.10431238489166746,0.4846143913721507,103285.97129186602,107640.0,14523107.751196172,145160000.0,0.8839582660287082,0.08171,5,750.0,10.0,0.01,60000.0,12.0,1045
A5-750-10-60000,0.5,-0.0013717,0.0008104999999999996,4.1724e-10,0.00085,-0.00077537,0.00069369,1884.4175740210123,3100.0,1255631.7153772684,5216600.0,0.11219441566246324,0.5610527683738848,103166.30276981853,106570.0,15887781.957975168,199320000.0,0.8917647831900669,0.082423,5,750.0,10.0,0.01,60000.0,12.0,1047
A5-750-10-60000,0.6,-0.0013563999999999998,0.0009750000000000002,8.0466e-11,0.00085,-0.000775,0.00068931,1870.9658245948522,2983.6,1194808.1534795044,4598900.0,0.10227091304292112,0.5331679878387299,102986.44423260247,106630.0,14588120.004766444,138760000.0,0.8834027721639657,0.098783,5,750.0,10.0,0.01,60000.0,12.0,1049
A5-750-10-60000,0.7,-0.0013499999999999996,0.0008668000000000009,5.1857e-10,0.0007885,-0.0008,0.00068822,1897.7260436432637,3641.5,1350003.1973434535,9477100.0,0.11243716894297759,0.6166839424697225,103082.22011385199,110140.0,15241376.280834915,155070000.0,0.8886809962049336,0.125,5,750.0,10.0,0.01,60000.0,12.0,1054
A5-750-10-60000,0.8,-0.0013889000000000002,0.0009108999999999992,2.5332e-10,0.00079562,-0.00069999,0.00069568,1880.0350333651097,3042.4,1263232.1172545282,6345900.0,0.10961043188494944,0.6889024465771624,103185.60057197331,105670.0,14279751.887511916,141940000.0,0.9007422907530982,0.107363,5,750.0,10.0,0.01,60000.0,12.0,1049
A5-750-10-60000,0.9,-0.0013500000000000014,0.0007582999999999982,9.5368e-11,0.00081001,-0.0007,0.00067399,1880.8817452357073,3213.6,1258762.0651955868,5634900.0,0.11511841102319374,0.5679450073730731,103527.8445336008,106080.0,15710186.870611835,149310000.0,0.9052129137412236,0.125,5,750.0,10.0,0.01,60000.0,12.0,997
